1. 최솟값 만들기,연탁(https://programmers.co.kr/learn/challenge_codes/179)
2. 가장 긴 팰린드롭,서해(https://programmers.co.kr/learn/challenge_codes/84)
3. 최고의 집합,푸르(https://programmers.co.kr/learn/challenge_codes/155)
